,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,0.8573076923076923,0.0,0.02346153846153846,0.016923076923076923,0.025384615384615384,0.0034615384615384616,0.0,0.008461538461538461,0.0007692307692307692,0.06423076923076923,0.0
AM-DSB,0.0003846153846153846,0.9538461538461539,0.002692307692307692,0.0,0.0,0.001153846153846154,0.0,0.0,0.0,0.0,0.041923076923076924
AM-SSB,0.003076923076923077,0.0003846153846153846,0.9819230769230769,0.0057692307692307696,0.005,0.001153846153846154,0.0,0.0,0.0,0.002692307692307692,0.0
BPSK,0.014615384615384615,0.0,0.020384615384615383,0.9361538461538461,0.0019230769230769232,0.003076923076923077,0.010384615384615384,0.0,0.0,0.013076923076923076,0.0003846153846153846
CPFSK,0.01423076923076923,0.0003846153846153846,0.009615384615384616,0.0038461538461538464,0.948076923076923,0.01423076923076923,0.0,0.0,0.0,0.009615384615384616,0.0
GFSK,0.0015384615384615385,0.004230769230769231,0.005384615384615384,0.0003846153846153846,0.009615384615384616,0.9573076923076923,0.0,0.0,0.0,0.0003846153846153846,0.021153846153846155
PAM4,0.0007692307692307692,0.0,0.006538461538461538,0.006923076923076923,0.0,0.0,0.9846153846153847,0.0,0.001153846153846154,0.0,0.0
QAM16,0.012307692307692308,0.0,0.010384615384615384,0.0,0.0007692307692307692,0.0,0.0007692307692307692,0.9407692307692308,0.03192307692307692,0.002692307692307692,0.0003846153846153846
QAM64,0.0003846153846153846,0.0,0.010769230769230769,0.0003846153846153846,0.0,0.0,0.0003846153846153846,0.05346153846153846,0.9338461538461539,0.0007692307692307692,0.0
QPSK,0.07038461538461538,0.0,0.023076923076923078,0.015384615384615385,0.021923076923076924,0.0038461538461538464,0.0007692307692307692,0.003076923076923077,0.001153846153846154,0.8603846153846154,0.0
WBFM,0.0,0.5923076923076923,0.0007692307692307692,0.0,0.0007692307692307692,0.018846153846153846,0.0,0.0,0.0,0.0,0.3873076923076923
