class,class_index,sample_count,full_selection,full_probability,causal_selection,causal_probability,local_selection,local_probability
8PSK,0,2600,0.7907692193984985,0.3443721532821655,0.10153846442699432,0.3367069959640503,0.10769230872392654,0.3189209997653961
AM-DSB,1,2600,0.29384616017341614,0.335357129573822,0.0,0.32606083154678345,0.7061538696289062,0.338582843542099
AM-SSB,2,2600,0.4596153795719147,0.33653804659843445,0.4630769193172455,0.3359600603580475,0.07730769366025925,0.3275017738342285
BPSK,3,2600,0.7557692527770996,0.34001341462135315,0.016923077404499054,0.32976776361465454,0.22730769217014313,0.3302187919616699
CPFSK,4,2600,0.2788461446762085,0.3308986723423004,0.5753846168518066,0.33692291378974915,0.14576922357082367,0.33217912912368774
GFSK,5,2600,0.15000000596046448,0.32060372829437256,0.1288461536169052,0.33642512559890747,0.7211538553237915,0.34297168254852295
PAM4,6,2600,0.41846153140068054,0.331744909286499,0.03461538627743721,0.3322737216949463,0.5469231009483337,0.33598148822784424
QAM16,7,2600,0.1919230818748474,0.32672587037086487,0.4950000047683716,0.3381083607673645,0.313076913356781,0.3351663649082184
QAM64,8,2600,0.23807692527770996,0.3266806900501251,0.2157692313194275,0.33608174324035645,0.5461538434028625,0.3372381925582886
QPSK,9,2600,0.8369230628013611,0.34889736771583557,0.04923076927661896,0.3350505828857422,0.11384615302085876,0.31605270504951477
WBFM,10,2600,0.321153849363327,0.33471277356147766,0.007692307699471712,0.3265996277332306,0.6711538434028625,0.3386891186237335
