epoch,full,causal,local
1,0.48591647,0.29414237,0.21994114
2,0.35993555,0.3262098,0.31385463
3,0.33465293,0.33071747,0.33462957
4,0.3334968,0.33269104,0.33381212
5,0.33238742,0.33391723,0.33369535
6,0.3326677,0.33326328,0.33406904
7,0.33253923,0.33391723,0.33354354
8,0.3332399,0.3343143,0.3324458
9,0.33326328,0.33388218,0.33285454
10,0.3323991,0.33175683,0.33584407
11,0.3340924,0.33339173,0.3325159
12,0.33420917,0.3330881,0.33270273
13,0.33194366,0.33417413,0.33388218
14,0.33258596,0.3336253,0.33378878
15,0.3346763,0.330554,0.33476973
16,0.3335669,0.3336253,0.33280784
17,0.33357856,0.33347347,0.33294797
18,0.33245748,0.33357856,0.33396393
19,0.33330998,0.3323991,0.33429092
20,0.33438435,0.33425587,0.33135977
21,0.3329363,0.33307642,0.3339873
22,0.33396393,0.33306473,0.3329713
23,0.33441937,0.33229402,0.3332866
24,0.3341975,0.33273777,0.33306473
25,0.33321655,0.33262098,0.33416247
26,0.33290124,0.33312312,0.3339756
27,0.33332166,0.3327728,0.33390555
28,0.33373037,0.33234072,0.3339289
29,0.3330881,0.33404568,0.33286622
30,0.33200204,0.33465293,0.33334503
31,0.3330881,0.3345128,0.3323991
32,0.33412743,0.33322823,0.33264434
33,0.33280784,0.33410406,0.3330881
34,0.33286622,0.33237574,0.33475804
35,0.33360192,0.33497992,0.33141816
36,0.3324458,0.33427924,0.33327493
37,0.33336836,0.33320487,0.33342674
38,0.33222392,0.3334968,0.33427924
39,0.33506167,0.33305305,0.33188528
40,0.334034,0.33330998,0.33265603
41,0.33354354,0.33200204,0.33445442
42,0.33554044,0.33099777,0.3334618
43,0.33342674,0.33343843,0.3331348
44,0.33306473,0.33373037,0.33320487
45,0.33278447,0.33489817,0.33231735
46,0.33209547,0.3332399,0.3346646
47,0.33480474,0.3335669,0.33162835
48,0.3330414,0.33306473,0.33389387
49,0.33450112,0.3319904,0.3335085
50,0.3337771,0.33279616,0.33342674
51,0.33200204,0.3332399,0.33475804
52,0.3325976,0.3322473,0.33515507
53,0.33438435,0.332983,0.33263266
54,0.33283117,0.33188528,0.33528355
55,0.33522514,0.3319904,0.33278447
