confidence,correct,target,prediction,snr_db
0.5890037,False,10,1,16.0
0.99015725,True,7,7,4.0
0.991507,True,9,9,2.0
0.99302083,True,9,9,10.0
0.9909877,True,7,7,-6.0
0.9932347,True,10,10,16.0
0.5792243,False,10,1,14.0
0.9900822,True,4,4,14.0
0.989569,True,7,7,10.0
0.99260396,True,3,3,12.0
0.99170226,True,8,8,14.0
0.9893826,True,4,4,14.0
0.57986647,True,1,1,8.0
0.9517762,True,2,2,-4.0
0.97639096,True,0,0,0.0
0.9928086,True,5,5,10.0
0.92333436,False,7,0,-4.0
0.99173075,True,8,8,16.0
0.9927215,True,3,3,2.0
0.9910324,True,7,7,4.0
0.9898317,True,4,4,12.0
0.9741754,True,3,3,0.0
0.5160194,True,10,10,0.0
0.5548262,True,1,1,10.0
0.9589168,True,2,2,14.0
0.9887776,True,0,0,2.0
0.9930495,True,8,8,-4.0
0.8210238,True,5,5,-2.0
0.9922531,True,3,3,10.0
0.99286485,True,8,8,-6.0
0.9917034,True,6,6,14.0
0.9913038,True,8,8,4.0
0.9926984,True,6,6,8.0
0.9920787,True,6,6,10.0
0.9866779,True,6,6,-6.0
0.99356705,True,3,3,2.0
0.9937162,True,9,9,2.0
0.9935867,True,8,8,-6.0
0.94717723,True,2,2,8.0
0.99317414,True,9,9,10.0
0.99198544,True,4,4,8.0
0.99152803,True,7,7,14.0
0.9923402,True,4,4,16.0
0.78751427,False,9,0,-2.0
0.5701666,False,10,1,16.0
0.99328387,True,6,6,8.0
0.5497901,False,10,1,8.0
0.9914312,True,7,7,6.0
0.99220324,True,6,6,-4.0
0.9918997,True,8,8,14.0
0.9890721,True,10,10,18.0
0.98997444,True,8,8,14.0
0.6336514,True,1,1,-4.0
0.9929525,True,5,5,8.0
0.9900059,True,7,7,10.0
0.79172146,True,1,1,10.0
0.990026,True,3,3,10.0
0.93959033,True,1,1,16.0
0.9931859,True,5,5,14.0
0.99138486,True,6,6,-6.0
0.9945321,True,5,5,-2.0
0.9926755,True,6,6,4.0
0.9927448,True,4,4,16.0
0.9886585,False,0,5,-4.0
0.99137914,True,3,3,10.0
0.5943736,True,1,1,0.0
0.9905003,True,3,3,16.0
0.9412996,True,2,2,-6.0
0.9719315,True,5,5,2.0
0.9927146,True,6,6,2.0
0.9922253,True,8,8,-2.0
0.9509223,True,2,2,2.0
0.9795537,True,7,7,-4.0
0.9905567,True,5,5,10.0
0.55170685,True,2,2,12.0
0.98530626,True,6,6,12.0
0.99129945,True,6,6,14.0
0.57022816,False,10,1,16.0
0.9847584,True,7,7,12.0
0.6022831,True,1,1,4.0
0.8132129,False,3,6,-2.0
0.9891173,True,4,4,4.0
0.9923964,True,3,3,2.0
0.99085146,True,6,6,2.0
0.98991233,True,10,10,16.0
0.98450905,True,8,8,-4.0
0.99156594,True,6,6,10.0
0.7716865,True,4,4,-4.0
0.57322425,False,10,1,16.0
0.98850656,True,7,7,6.0
0.9846624,True,3,3,-2.0
0.99052984,True,4,4,10.0
0.6543467,False,3,0,-6.0
0.9855409,False,5,10,0.0
0.99326116,True,5,5,18.0
0.9881259,True,0,0,18.0
0.9948489,True,4,4,-4.0
0.6026118,True,1,1,8.0
0.9916414,True,4,4,14.0
0.99015814,True,4,4,14.0
0.9292032,True,5,5,-4.0
0.9925884,True,3,3,14.0
0.7653553,True,1,1,10.0
0.99095434,True,4,4,16.0
0.98809016,True,3,3,18.0
0.74725854,True,4,4,-4.0
0.9915394,True,10,10,12.0
0.98848665,True,7,7,12.0
0.78148,True,5,5,-2.0
0.9929255,True,4,4,4.0
0.99236804,True,8,8,2.0
0.98953444,True,7,7,18.0
0.79551375,False,10,1,0.0
0.58484894,True,0,0,-6.0
0.99185055,True,0,0,6.0
0.9911708,True,4,4,10.0
0.7243775,False,10,1,-4.0
0.9289896,True,2,2,10.0
0.995518,True,5,5,-2.0
0.6035577,True,1,1,4.0
0.6224292,True,1,1,-2.0
0.9921502,True,4,4,18.0
0.6121644,False,10,1,2.0
0.785615,True,10,10,4.0
0.9928837,True,3,3,8.0
0.9923896,True,8,8,16.0
0.78245753,True,2,2,-2.0
0.45112923,True,3,3,-6.0
0.60168993,True,1,1,-6.0
0.6596062,False,0,9,-4.0
0.9865323,True,5,5,4.0
0.89701355,True,7,7,-6.0
0.9317793,True,2,2,6.0
0.99127287,True,8,8,12.0
0.9909322,True,6,6,10.0
0.3308662,True,9,9,-6.0
0.99262834,True,9,9,14.0
0.99224234,True,8,8,0.0
0.8712258,False,0,9,0.0
0.9956755,True,5,5,6.0
0.9918962,True,0,0,18.0
0.5660339,True,1,1,12.0
0.9884582,True,4,4,8.0
0.9902829,True,5,5,12.0
0.98832315,True,4,4,-2.0
0.9453149,True,1,1,14.0
0.9916294,True,4,4,14.0
0.96397394,True,2,2,0.0
0.9915486,True,7,7,0.0
0.9902428,True,4,4,12.0
0.9923343,True,0,0,6.0
0.9905178,True,9,9,4.0
0.9868237,True,4,4,6.0
0.9892266,True,6,6,-4.0
0.9894049,True,3,3,2.0
0.68011373,True,1,1,4.0
0.9916706,True,8,8,12.0
0.9917856,True,8,8,16.0
0.9906985,True,3,3,18.0
0.9905964,True,6,6,8.0
0.8890109,True,7,7,0.0
0.9909763,True,9,9,8.0
0.9914812,True,4,4,6.0
0.9915535,True,6,6,12.0
0.5666794,False,10,1,18.0
0.99265563,True,5,5,12.0
0.97253495,True,0,0,2.0
0.9904812,True,0,0,12.0
0.4530203,True,4,4,-6.0
0.94018817,True,2,2,2.0
0.9918391,True,5,5,14.0
0.6706616,False,9,3,-6.0
0.9647096,True,7,7,6.0
0.96205646,True,3,3,0.0
0.9906832,True,7,7,16.0
0.9525413,True,2,2,8.0
0.9913215,True,6,6,12.0
0.99161994,True,8,8,0.0
0.96414113,True,2,2,12.0
0.69058204,True,1,1,2.0
0.9927436,True,9,9,4.0
0.9914254,True,6,6,12.0
0.93854684,True,2,2,2.0
0.6501744,False,2,4,2.0
0.9831882,True,0,0,0.0
0.98884636,True,7,7,0.0
0.99058175,True,3,3,8.0
0.98966354,True,4,4,2.0
0.9875163,True,0,0,8.0
0.99180776,True,8,8,12.0
0.5109437,True,4,4,-6.0
0.8104467,True,10,10,-4.0
0.9912198,True,7,7,10.0
0.9903813,True,6,6,-2.0
0.9910948,True,3,3,4.0
0.99081695,True,7,7,16.0
0.5798177,False,10,1,14.0
0.9918954,True,4,4,10.0
0.99066377,True,4,4,12.0
0.9910971,True,6,6,18.0
0.8666741,True,10,10,6.0
0.9913795,True,8,8,4.0
0.9912951,True,0,0,2.0
0.99149007,True,6,6,-6.0
0.9895393,True,0,0,18.0
0.9932209,True,7,7,2.0
0.9211955,True,2,2,-6.0
0.9914464,True,7,7,14.0
0.9957794,True,10,10,6.0
0.9918726,True,6,6,10.0
0.57637405,True,1,1,14.0
0.9717694,True,2,2,4.0
0.8783317,True,10,10,4.0
0.99166393,True,3,3,6.0
0.98419756,True,10,10,4.0
0.992698,True,9,9,2.0
0.92683107,False,8,7,-6.0
0.9571145,True,2,2,18.0
0.9326878,True,8,8,-6.0
0.7155989,True,1,1,12.0
0.9756644,True,9,9,-2.0
0.9660471,True,2,2,-4.0
0.60436964,True,1,1,14.0
0.97547126,True,5,5,4.0
0.99155664,True,7,7,8.0
0.991659,True,6,6,8.0
0.9911596,True,6,6,12.0
0.99321824,True,7,7,-6.0
0.99093467,True,8,8,18.0
0.9914808,True,8,8,12.0
0.960568,True,2,2,18.0
0.75880605,True,7,7,-4.0
0.9910114,True,8,8,14.0
0.9904124,True,6,6,14.0
0.993561,True,8,8,-4.0
0.96793294,True,2,2,-4.0
0.99161303,True,6,6,12.0
0.99076056,True,3,3,2.0
0.9931671,True,8,8,12.0
0.99260825,True,8,8,6.0
0.9375132,True,4,4,-4.0
0.6327862,True,1,1,-2.0
0.9890626,True,5,5,4.0
0.9930642,True,4,4,-2.0
0.99240714,True,6,6,0.0
0.57192683,True,1,1,18.0
0.92140466,True,2,2,0.0
0.5533655,True,1,1,8.0
0.9914794,True,8,8,2.0
0.99248934,True,5,5,16.0
0.994885,True,5,5,14.0
0.99263203,True,4,4,6.0
0.9920351,True,6,6,10.0
0.61670613,False,10,1,4.0
0.9942263,True,8,8,-2.0
0.86710924,True,5,5,2.0
0.9914813,True,8,8,6.0
0.47601563,False,6,0,-6.0
0.9916468,True,3,3,18.0
0.9912184,True,6,6,10.0
0.99112564,True,3,3,18.0
0.991234,True,0,0,16.0
0.9916569,True,9,9,6.0
