class,class_index,snr_db,accuracy,sample_count
8PSK,0,-6.0,0.24,200
8PSK,0,-4.0,0.48,200
8PSK,0,-2.0,0.685,200
8PSK,0,0.0,0.87,200
8PSK,0,2.0,0.965,200
8PSK,0,4.0,0.955,200
8PSK,0,6.0,0.995,200
8PSK,0,8.0,1.0,200
8PSK,0,10.0,0.995,200
8PSK,0,12.0,1.0,200
8PSK,0,14.0,0.99,200
8PSK,0,16.0,0.98,200
8PSK,0,18.0,0.99,200
AM-DSB,1,-6.0,0.755,200
AM-DSB,1,-4.0,0.885,200
AM-DSB,1,-2.0,0.86,200
AM-DSB,1,0.0,0.935,200
AM-DSB,1,2.0,0.965,200
AM-DSB,1,4.0,1.0,200
AM-DSB,1,6.0,1.0,200
AM-DSB,1,8.0,1.0,200
AM-DSB,1,10.0,1.0,200
AM-DSB,1,12.0,1.0,200
AM-DSB,1,14.0,1.0,200
AM-DSB,1,16.0,1.0,200
AM-DSB,1,18.0,1.0,200
AM-SSB,2,-6.0,0.995,200
AM-SSB,2,-4.0,0.99,200
AM-SSB,2,-2.0,0.97,200
AM-SSB,2,0.0,0.985,200
AM-SSB,2,2.0,0.985,200
AM-SSB,2,4.0,0.97,200
AM-SSB,2,6.0,0.99,200
AM-SSB,2,8.0,0.965,200
AM-SSB,2,10.0,0.99,200
AM-SSB,2,12.0,0.965,200
AM-SSB,2,14.0,0.995,200
AM-SSB,2,16.0,0.965,200
AM-SSB,2,18.0,1.0,200
BPSK,3,-6.0,0.48,200
BPSK,3,-4.0,0.875,200
BPSK,3,-2.0,0.925,200
BPSK,3,0.0,0.985,200
BPSK,3,2.0,0.98,200
BPSK,3,4.0,0.995,200
BPSK,3,6.0,0.985,200
BPSK,3,8.0,1.0,200
BPSK,3,10.0,0.99,200
BPSK,3,12.0,1.0,200
BPSK,3,14.0,0.975,200
BPSK,3,16.0,0.985,200
BPSK,3,18.0,0.995,200
CPFSK,4,-6.0,0.5,200
CPFSK,4,-4.0,0.84,200
CPFSK,4,-2.0,0.985,200
CPFSK,4,0.0,1.0,200
CPFSK,4,2.0,1.0,200
CPFSK,4,4.0,1.0,200
CPFSK,4,6.0,1.0,200
CPFSK,4,8.0,1.0,200
CPFSK,4,10.0,1.0,200
CPFSK,4,12.0,1.0,200
CPFSK,4,14.0,1.0,200
CPFSK,4,16.0,1.0,200
CPFSK,4,18.0,1.0,200
GFSK,5,-6.0,0.72,200
GFSK,5,-4.0,0.875,200
GFSK,5,-2.0,0.935,200
GFSK,5,0.0,0.94,200
GFSK,5,2.0,0.98,200
GFSK,5,4.0,0.995,200
GFSK,5,6.0,1.0,200
GFSK,5,8.0,1.0,200
GFSK,5,10.0,1.0,200
GFSK,5,12.0,1.0,200
GFSK,5,14.0,1.0,200
GFSK,5,16.0,1.0,200
GFSK,5,18.0,1.0,200
PAM4,6,-6.0,0.905,200
PAM4,6,-4.0,0.99,200
PAM4,6,-2.0,0.985,200
PAM4,6,0.0,0.99,200
PAM4,6,2.0,0.99,200
PAM4,6,4.0,0.99,200
PAM4,6,6.0,0.995,200
PAM4,6,8.0,1.0,200
PAM4,6,10.0,0.985,200
PAM4,6,12.0,0.985,200
PAM4,6,14.0,0.995,200
PAM4,6,16.0,0.99,200
PAM4,6,18.0,1.0,200
QAM16,7,-6.0,0.86,200
QAM16,7,-4.0,0.85,200
QAM16,7,-2.0,0.855,200
QAM16,7,0.0,0.915,200
QAM16,7,2.0,0.975,200
QAM16,7,4.0,0.985,200
QAM16,7,6.0,0.95,200
QAM16,7,8.0,0.96,200
QAM16,7,10.0,0.97,200
QAM16,7,12.0,0.99,200
QAM16,7,14.0,0.975,200
QAM16,7,16.0,0.97,200
QAM16,7,18.0,0.975,200
QAM64,8,-6.0,0.705,200
QAM64,8,-4.0,0.885,200
QAM64,8,-2.0,0.95,200
QAM64,8,0.0,0.97,200
QAM64,8,2.0,0.965,200
QAM64,8,4.0,0.955,200
QAM64,8,6.0,0.96,200
QAM64,8,8.0,0.955,200
QAM64,8,10.0,0.965,200
QAM64,8,12.0,0.935,200
QAM64,8,14.0,0.965,200
QAM64,8,16.0,0.96,200
QAM64,8,18.0,0.97,200
QPSK,9,-6.0,0.225,200
QPSK,9,-4.0,0.485,200
QPSK,9,-2.0,0.715,200
QPSK,9,0.0,0.925,200
QPSK,9,2.0,0.97,200
QPSK,9,4.0,0.975,200
QPSK,9,6.0,0.98,200
QPSK,9,8.0,0.98,200
QPSK,9,10.0,0.99,200
QPSK,9,12.0,0.98,200
QPSK,9,14.0,0.99,200
QPSK,9,16.0,0.99,200
QPSK,9,18.0,0.98,200
WBFM,10,-6.0,0.3,200
WBFM,10,-4.0,0.3,200
WBFM,10,-2.0,0.31,200
WBFM,10,0.0,0.34,200
WBFM,10,2.0,0.405,200
WBFM,10,4.0,0.375,200
WBFM,10,6.0,0.44,200
WBFM,10,8.0,0.395,200
WBFM,10,10.0,0.37,200
WBFM,10,12.0,0.515,200
WBFM,10,14.0,0.44,200
WBFM,10,16.0,0.425,200
WBFM,10,18.0,0.42,200
