class,class_index,qam_gate,analog_gate
8PSK,0,0.022230226546525955,0.0021642555948346853
AM-DSB,1,0.002588765462860465,0.9853675365447998
AM-SSB,2,0.035713084042072296,0.004251192789524794
BPSK,3,0.003436474362388253,0.0028767953626811504
CPFSK,4,0.0036488515324890614,0.0033702715300023556
GFSK,5,0.0026360901538282633,0.06019006669521332
PAM4,6,0.01119403075426817,0.0017792130820453167
QAM16,7,0.9525229334831238,0.0020370404236018658
QAM64,8,0.9749595522880554,0.0017570811323821545
QPSK,9,0.013054924085736275,0.0028861158061772585
WBFM,10,0.00261710281483829,0.9612165689468384
