sample_index,i,q,amplitude,phase,instantaneous_frequency
0,0.001270116,-0.007670292,0.007775383,-1.4066964,0.0
1,0.0013453802,-0.007849021,0.007964117,-1.4010386,0.005657792
2,0.0012096541,-0.00773675,0.007831383,-1.4157003,-0.01466167
3,0.00123891,-0.007652969,0.007753247,-1.4103025,0.0053977966
4,0.0011485177,-0.0076800343,0.007766081,-1.4223505,-0.012048006
5,0.0012815252,-0.0077633187,0.007869016,-1.4071974,0.01515317
6,0.0011394671,-0.0079924315,0.008073868,-1.4291824,-0.021985054
7,0.0013519191,-0.007714742,0.007832939,-1.3973194,0.031862974
8,0.0010894226,-0.007583281,0.007661788,-1.4281116,-0.030792117
9,0.0012065701,-0.007819689,0.007912859,-1.4177047,0.010406852
10,0.0011405938,-0.0076864916,0.0077713006,-1.423482,-0.00577724
11,0.0011145953,-0.0076803546,0.007761454,-1.4266796,-0.00319767
12,0.001149762,-0.007561946,0.0076495083,-1.4199063,0.0067733526
13,0.0011316201,-0.007714816,0.0077980096,-1.4251535,-0.0052472353
14,0.0011968618,-0.0077196974,0.007812567,-1.416981,0.008172512
15,0.0012982374,-0.0074379635,0.007551074,-1.3979951,0.018985868
16,0.0012586245,-0.0076132813,0.0077172653,-1.4069587,-0.008963585
17,0.0012642496,-0.0077013816,0.007805101,-1.4080888,-0.0011301041
18,0.0011201905,-0.0076657226,0.0077477824,-1.4256936,-0.017604828
19,0.0011201962,-0.0076019657,0.007684707,-1.4244931,0.0012005568
20,0.0012187411,-0.007694408,0.0077909715,-1.4137083,0.010784745
21,0.0013079661,-0.0075760568,0.0076887845,-1.3998369,0.013871431
22,0.0012453136,-0.007776786,0.007876498,-1.4120122,-0.012175322
23,0.0010995688,-0.0075643114,0.007644466,-1.4264448,-0.0144325495
24,0.0012353744,-0.0076830066,0.007782335,-1.4113679,0.015076876
25,0.0014055689,-0.0077604637,0.007887358,-1.3916196,0.01974833
26,0.0013818314,-0.0076920893,0.007815861,-1.393049,-0.0014294386
27,0.0012052268,-0.0077755074,0.007868995,-1.4170172,-0.02396822
28,0.0013175242,-0.007672896,0.0077858334,-1.4007432,0.016273975
29,0.0011542254,-0.0076765628,0.0077634947,-1.4215572,-0.020813942
30,0.0011165908,-0.0076802135,0.0077616014,-1.4264225,-0.0048652887
31,0.0013048218,-0.0077159056,0.0078260945,-1.4032732,0.023149252
32,0.0011910737,-0.007639289,0.0077322307,-1.4161274,-0.0128542185
33,0.0012938919,-0.007649393,0.0077586966,-1.4032328,0.01289463
34,0.001283611,-0.007666895,0.0077742487,-1.4049124,-0.0016795397
35,0.0011988431,-0.0075404537,0.0076358146,-1.4131278,-0.008215427
36,0.0011582724,-0.007834074,0.0079198675,-1.4240092,-0.010881424
37,0.00092508656,-0.0076150163,0.007671653,-1.4499068,-0.025897622
38,0.0011477964,-0.0076809246,0.0077668554,-1.4224594,0.027447462
39,0.001324476,-0.007871557,0.007982834,-1.4040968,0.018362522
40,0.0013429329,-0.007824276,0.007939317,-1.4008158,0.0032809973
41,0.0012452089,-0.0076880166,0.0077888477,-1.4102232,-0.009407401
42,0.0012341941,-0.0076786513,0.0077778483,-1.4114288,-0.0012055635
43,0.0012343458,-0.00775679,0.007855024,-1.4129885,-0.0015597343
44,0.0013800812,-0.0077326815,0.007855507,-1.3941821,0.018806458
45,0.0012121574,-0.0077877473,0.007882153,-1.416386,-0.022203922
46,0.0012757097,-0.007742564,0.007847594,-1.4074978,0.008888245
47,0.0012339293,-0.007612986,0.007712985,-1.4101115,-0.0026137829
48,0.0012228834,-0.007743749,0.00784035,-1.414171,-0.004059434
49,0.0013107202,-0.007786255,0.007896439,-1.4040222,0.010148764
50,0.0011492696,-0.007625144,0.0077119153,-1.4212013,-0.017179132
51,0.001136793,-0.007666796,0.007751262,-1.423594,-0.0023926497
52,0.0014008516,-0.0076496,0.0077774525,-1.3896759,0.033918142
53,0.0011400199,-0.007814395,0.007897748,-1.4259312,-0.03625536
54,0.0012009451,-0.007848025,0.00794001,-1.4189491,0.006982088
55,0.0013623365,-0.0076984065,0.007818658,-1.3956462,0.023302913
56,0.0014002674,-0.007583743,0.0077125807,-1.3882121,0.0074341297
57,0.0013262003,-0.007649253,0.0077640116,-1.3991264,-0.010914326
58,0.001268533,-0.0078793615,0.0079814475,-1.4111717,-0.012045264
59,0.0011655393,-0.007794532,0.007881828,-1.4223632,-0.011191487
60,0.0011418973,-0.007686845,0.0077718413,-1.4233227,-0.0009595156
61,0.0012073515,-0.0076396763,0.0077351374,-1.4140557,0.009266973
62,0.001160604,-0.007789235,0.007875861,-1.4228835,-0.0088278055
63,0.0012747681,-0.0077586723,0.007863334,-1.407949,0.01493454
64,0.0011347914,-0.0076172,0.0077019143,-1.4229065,-0.014957547
65,0.0012300239,-0.007792564,0.007889678,-1.4142421,0.00866437
66,0.0012397994,-0.007801857,0.007900384,-1.4132032,0.001038909
67,0.0012630586,-0.0077303275,0.0078334715,-1.4088374,0.004365802
68,0.0012719526,-0.007758521,0.007862729,-1.4082992,0.00053822994
69,0.0012120922,-0.007622828,0.0077192406,-1.4131082,-0.004809022
70,0.0012633704,-0.007841685,0.007943433,-1.4110594,0.00204885
71,0.0013307619,-0.007711473,0.007826094,-1.3999103,0.011149049
72,0.0012463153,-0.007794579,0.007894224,-1.4122434,-0.0123330355
73,0.0013278194,-0.0076606045,0.007775472,-1.3991706,0.013072729
74,0.0012414462,-0.007701342,0.007801401,-1.4109726,-0.011801958
75,0.0012296577,-0.0076656695,0.0077643124,-1.4117404,-0.00076782703
76,0.0012139999,-0.0076881675,0.007784068,-1.4141845,-0.0024440289
77,0.0012379955,-0.00774584,0.007844786,-1.4123096,0.0018748045
78,0.0013061189,-0.007909447,0.008017188,-1.4071393,0.0051703453
79,0.0013048948,-0.007567828,0.0076801544,-1.4000487,0.0070905685
80,0.0012213227,-0.0077391765,0.00783559,-1.4142767,-0.014227986
81,0.0013039125,-0.007648161,0.0077591594,-1.4019328,0.0123438835
82,0.0013393539,-0.0077847685,0.007899778,-1.4004164,0.0015164614
83,0.001113725,-0.007825819,0.0079053035,-1.4294314,-0.029015064
84,0.0012541206,-0.007649042,0.007751817,-1.4082844,0.021147013
85,0.0011871022,-0.0077654896,0.007856337,-1.4191018,-0.010817409
86,0.0012854768,-0.0075844135,0.0076932292,-1.4029026,0.016199231
87,0.0011660968,-0.0077113593,0.0077996696,-1.4207153,-0.017812729
88,0.0012386823,-0.007635103,0.0077355755,-1.4099625,0.010752797
89,0.0012423622,-0.007706995,0.0078071277,-1.410972,-0.0010094643
90,0.0013126426,-0.0076807565,0.0077927564,-1.4015315,0.009440541
91,0.0013774771,-0.0077856844,0.007907232,-1.3956841,0.005847335
92,0.0012690698,-0.007749829,0.007853686,-1.4084824,-0.012798309
93,0.0011599903,-0.007582288,0.0076711583,-1.4189866,-0.010504127
94,0.0012428792,-0.0077475347,0.007847232,-1.4117291,0.0072574615
