dimension_1,dimension_2,class_index,class,snr_db
-60.767597,9.297595,10,WBFM,16.0
18.35502,-49.649025,7,QAM16,4.0
15.915289,-13.158168,9,QPSK,2.0
5.7780395,-17.69272,9,QPSK,10.0
26.852245,-35.69903,7,QAM16,-6.0
-29.59785,44.742485,10,WBFM,16.0
-58.053505,12.001034,10,WBFM,14.0
-39.38572,-13.433916,4,CPFSK,14.0
20.993153,-58.77194,7,QAM16,10.0
-13.649152,-12.219839,3,BPSK,12.0
44.07808,-20.464582,8,QAM64,14.0
-36.95749,-10.810632,4,CPFSK,14.0
-46.396095,14.786438,1,AM-DSB,8.0
26.043962,36.22025,2,AM-SSB,-4.0
32.51783,2.7892764,0,8PSK,0.0
-1.7792344,58.359905,5,GFSK,10.0
37.32659,6.0898623,7,QAM16,-4.0
51.86126,-24.018784,8,QAM64,16.0
-9.9922285,-2.1594696,3,BPSK,2.0
16.309519,-53.803654,7,QAM16,4.0
-45.369602,-11.564529,4,CPFSK,12.0
-5.4392576,5.2062593,3,BPSK,0.0
-32.136395,31.917353,10,WBFM,0.0
-52.46279,9.803244,1,AM-DSB,10.0
21.64396,27.158266,2,AM-SSB,14.0
37.728863,3.2336693,0,8PSK,2.0
38.678036,-22.867006,8,QAM64,-4.0
-6.255841,45.061195,5,GFSK,-2.0
-9.788049,-5.850188,3,BPSK,10.0
37.550854,-21.769749,8,QAM64,-6.0
-22.38966,-49.825397,6,PAM4,14.0
50.7885,-23.49431,8,QAM64,4.0
-17.89977,-51.162342,6,PAM4,8.0
-11.841649,-46.570404,6,PAM4,10.0
-9.589095,-34.9371,6,PAM4,-6.0
-13.803436,-2.3936398,3,BPSK,2.0
13.51275,-8.306223,9,QPSK,2.0
37.575287,-22.763954,8,QAM64,-6.0
33.08199,31.797205,2,AM-SSB,8.0
8.570631,-15.891135,9,QPSK,10.0
-44.921394,-10.607335,4,CPFSK,8.0
19.339493,-46.15579,7,QAM16,14.0
-44.342033,-16.77341,4,CPFSK,16.0
15.823441,3.0880883,9,QPSK,-2.0
-67.498566,2.2382603,10,WBFM,16.0
-22.071894,-44.721603,6,PAM4,8.0
-47.555668,12.8990135,10,WBFM,8.0
15.695155,-53.484722,7,QAM16,6.0
-10.49152,-33.674507,6,PAM4,-4.0
40.216793,-31.383524,8,QAM64,14.0
-28.722586,45.674232,10,WBFM,18.0
45.757812,-23.178957,8,QAM64,14.0
-25.985424,21.31223,1,AM-DSB,-4.0
-7.164185,58.599705,5,GFSK,8.0
17.24044,-54.38626,7,QAM16,10.0
-48.86795,25.730265,1,AM-DSB,10.0
-9.7022505,-5.3530626,3,BPSK,10.0
-53.452347,30.762331,1,AM-DSB,16.0
1.4458255,57.060467,5,GFSK,14.0
-11.51146,-33.70566,6,PAM4,-6.0
-3.8327234,41.496384,5,GFSK,-2.0
-20.92565,-55.179012,6,PAM4,4.0
-44.208046,-20.013788,4,CPFSK,16.0
-6.0463934,39.78559,0,8PSK,-4.0
-7.6917205,-5.623325,3,BPSK,10.0
-34.48975,20.121607,1,AM-DSB,0.0
-9.595126,-11.870867,3,BPSK,16.0
30.56262,30.02995,2,AM-SSB,-6.0
-5.2671566,57.602367,5,GFSK,2.0
-15.906974,-40.51358,6,PAM4,2.0
53.80094,-23.472742,8,QAM64,-2.0
29.12247,32.90474,2,AM-SSB,2.0
26.146574,-42.39912,7,QAM16,-4.0
-1.4850658,53.63834,5,GFSK,10.0
15.88256,23.715317,2,AM-SSB,12.0
-28.792778,-49.53803,6,PAM4,12.0
-25.956884,-48.799618,6,PAM4,14.0
-67.01923,2.8142605,10,WBFM,16.0
22.676195,-39.209904,7,QAM16,12.0
-41.937893,20.691946,1,AM-DSB,4.0
-6.7095,6.676389,3,BPSK,-2.0
-40.116844,-11.947475,4,CPFSK,4.0
-17.33554,-7.8902493,3,BPSK,2.0
-19.833614,-46.92875,6,PAM4,2.0
-30.059181,45.919376,10,WBFM,16.0
34.697544,-30.611315,8,QAM64,-4.0
-23.287327,-50.168453,6,PAM4,10.0
4.5211196,18.21721,4,CPFSK,-4.0
-61.269672,8.992915,10,WBFM,16.0
14.364988,-49.38173,7,QAM16,6.0
-4.0608177,4.697132,3,BPSK,-2.0
-47.794353,-15.095873,4,CPFSK,10.0
7.2187014,7.7736063,3,BPSK,-6.0
-26.649025,39.930855,5,GFSK,0.0
2.9578226,49.496212,5,GFSK,18.0
50.15824,3.877397,0,8PSK,18.0
1.2315689,16.586517,4,CPFSK,-4.0
-47.65179,19.962015,1,AM-DSB,8.0
-38.920425,-8.658271,4,CPFSK,14.0
-36.689518,-8.433384,4,CPFSK,14.0
-6.7875304,38.13993,5,GFSK,-4.0
-16.994236,-3.008735,3,BPSK,14.0
-48.944794,25.691282,1,AM-DSB,10.0
-39.438187,-9.312575,4,CPFSK,16.0
-6.8528533,-11.601274,3,BPSK,18.0
-0.25983816,18.196802,4,CPFSK,-4.0
-27.053234,46.675014,10,WBFM,12.0
19.947453,-54.997505,7,QAM16,12.0
-3.6625035,48.34629,5,GFSK,-2.0
-41.683872,-5.805136,4,CPFSK,4.0
52.160255,-26.113165,8,QAM64,2.0
19.102207,-56.674572,7,QAM16,18.0
-39.022053,27.817543,10,WBFM,0.0
9.926823,10.0346775,0,8PSK,-6.0
44.038525,5.4326015,0,8PSK,6.0
-42.35364,-17.557816,4,CPFSK,10.0
-25.13215,23.651527,10,WBFM,-4.0
34.292507,36.33458,2,AM-SSB,10.0
-3.5227494,39.788284,5,GFSK,-2.0
-40.434547,18.17029,1,AM-DSB,4.0
-31.706177,22.513489,1,AM-DSB,-2.0
-38.721542,-18.255966,4,CPFSK,18.0
-38.37482,16.454638,10,WBFM,2.0
-29.618832,39.060806,10,WBFM,4.0
-8.387701,-7.817048,3,BPSK,8.0
50.840263,-26.289993,8,QAM64,16.0
18.236929,30.464376,2,AM-SSB,-2.0
0.2507635,8.698783,3,BPSK,-6.0
-21.628166,24.987562,1,AM-DSB,-6.0
11.069457,9.968658,0,8PSK,-4.0
-0.82242835,48.67901,5,GFSK,4.0
25.821287,-48.57055,7,QAM16,-6.0
33.892597,37.9544,2,AM-SSB,6.0
49.137142,-22.456469,8,QAM64,12.0
-21.248545,-53.135098,6,PAM4,10.0
4.1426196,16.289787,9,QPSK,-6.0
6.6682534,-16.954275,9,QPSK,14.0
43.49265,-22.475195,8,QAM64,0.0
17.877264,-8.502348,0,8PSK,0.0
5.435182,54.8659,5,GFSK,6.0
46.8977,10.669478,0,8PSK,18.0
-55.182613,9.227244,1,AM-DSB,12.0
-39.125385,-11.310084,4,CPFSK,8.0
5.146426,49.727245,5,GFSK,12.0
-34.84918,-1.9151832,4,CPFSK,-2.0
-52.59271,29.814829,1,AM-DSB,14.0
-39.252995,-9.493233,4,CPFSK,14.0
27.856112,41.294884,2,AM-SSB,0.0
21.794088,-58.04401,7,QAM16,0.0
-42.808365,-12.05584,4,CPFSK,12.0
41.561802,4.295945,0,8PSK,6.0
16.266,-21.306639,9,QPSK,4.0
-46.74252,-11.71134,4,CPFSK,6.0
-11.6572895,-35.541573,6,PAM4,-4.0
-7.6716986,-3.6394386,3,BPSK,2.0
-41.65013,21.269897,1,AM-DSB,4.0
44.244083,-20.71426,8,QAM64,12.0
44.29268,-23.531725,8,QAM64,16.0
-9.029876,-8.981742,3,BPSK,18.0
-16.722612,-55.08257,6,PAM4,8.0
19.407087,-38.75715,7,QAM16,0.0
9.800584,-23.94703,9,QPSK,8.0
-38.953583,-17.173052,4,CPFSK,6.0
-21.031054,-45.513817,6,PAM4,12.0
-67.95518,3.112052,10,WBFM,18.0
6.7546067,51.21137,5,GFSK,12.0
36.274548,1.004845,0,8PSK,2.0
46.655384,3.9221895,0,8PSK,12.0
3.8580248,19.233137,4,CPFSK,-6.0
20.325771,28.43278,2,AM-SSB,2.0
4.832184,50.426178,5,GFSK,14.0
5.288799,10.190801,9,QPSK,-6.0
26.11865,-40.35161,7,QAM16,6.0
-1.9641911,2.5254376,3,BPSK,0.0
15.798554,-48.123497,7,QAM16,16.0
29.692383,37.54626,2,AM-SSB,8.0
-15.066937,-49.208405,6,PAM4,12.0
53.807564,-26.674677,8,QAM64,0.0
29.351097,28.052507,2,AM-SSB,12.0
-33.711697,19.905516,1,AM-DSB,2.0
16.649914,-18.346004,9,QPSK,4.0
-23.192867,-56.069637,6,PAM4,12.0
24.023699,30.524427,2,AM-SSB,2.0
3.225691,17.105408,2,AM-SSB,2.0
33.16169,4.075894,0,8PSK,0.0
20.383793,-57.483315,7,QAM16,0.0
-8.532438,-10.457016,3,BPSK,8.0
-42.482258,-3.0516932,4,CPFSK,2.0
50.732304,2.5106504,0,8PSK,8.0
49.813084,-26.206293,8,QAM64,12.0
5.8791084,17.342873,4,CPFSK,-6.0
-11.654366,36.776855,10,WBFM,-4.0
21.528688,-40.10132,7,QAM16,10.0
-13.464329,-37.593063,6,PAM4,-2.0
-11.425966,-4.304777,3,BPSK,4.0
15.375712,-48.439808,7,QAM16,16.0
-58.43502,8.842832,10,WBFM,14.0
-39.902443,-8.720977,4,CPFSK,10.0
-39.467815,-9.160561,4,CPFSK,12.0
-19.73537,-49.80544,6,PAM4,18.0
-31.597149,37.658146,10,WBFM,6.0
42.497696,-21.442024,8,QAM64,4.0
37.95235,3.2506058,0,8PSK,2.0
-10.464207,-32.748207,6,PAM4,-6.0
54.25885,9.160394,0,8PSK,18.0
21.233196,-41.576786,7,QAM16,2.0
26.089571,26.153137,2,AM-SSB,-6.0
21.033205,-40.06619,7,QAM16,14.0
-24.996994,49.97774,10,WBFM,6.0
-21.710945,-48.136948,6,PAM4,10.0
-57.756947,9.094413,1,AM-DSB,14.0
17.45785,32.801956,2,AM-SSB,4.0
-30.063105,38.63019,10,WBFM,4.0
-13.045167,-13.458781,3,BPSK,6.0
-29.394537,39.305492,10,WBFM,4.0
15.205109,-8.394398,9,QPSK,2.0
30.679749,-39.979137,8,QAM64,-6.0
22.633821,33.734467,2,AM-SSB,18.0
33.64719,-36.134804,8,QAM64,-6.0
-49.635567,27.769999,1,AM-DSB,12.0
16.013721,-1.7618893,9,QPSK,-2.0
28.179647,32.158978,2,AM-SSB,-4.0
-59.861443,9.848912,1,AM-DSB,14.0
-6.5063596,48.289528,5,GFSK,4.0
21.41967,-42.582493,7,QAM16,8.0
-22.98304,-45.291893,6,PAM4,8.0
-20.349155,-50.26298,6,PAM4,12.0
28.399073,-45.432198,7,QAM16,-6.0
47.397144,-20.15659,8,QAM64,18.0
