modulation,samples,accuracy_percent,mean_uncertainty,router_prob_full,router_prob_causal,router_prob_local,selected_full,selected_causal,selected_local,mean_qam_gate,mean_analog_gate
8PSK,2600,85.73076923076923,0.15489262342453003,0.3443721532821655,0.3367069959640503,0.3189209997653961,0.7907692193984985,0.10153846442699432,0.10769230872392654,0.022230226546525955,0.0021642555948346853
AM-DSB,2600,95.38461538461539,0.3145439624786377,0.335357129573822,0.32606083154678345,0.338582843542099,0.29384616017341614,0.0,0.7061538696289062,0.002588765462860465,0.9853675365447998
AM-SSB,2600,98.1923076923077,0.1830417364835739,0.33653804659843445,0.3359600603580475,0.3275017738342285,0.4596153795719147,0.4630769193172455,0.07730769366025925,0.035713084042072296,0.004251192789524794
BPSK,2600,93.61538461538461,0.09685047715902328,0.34001341462135315,0.32976776361465454,0.3302187919616699,0.7557692527770996,0.016923077404499054,0.22730769217014313,0.003436474362388253,0.0028767953626811504
CPFSK,2600,94.8076923076923,0.09341934323310852,0.3308986723423004,0.33692291378974915,0.33217912912368774,0.2788461446762085,0.5753846168518066,0.14576922357082367,0.0036488515324890614,0.0033702715300023556
GFSK,2600,95.73076923076923,0.10868114978075027,0.32060372829437256,0.33642512559890747,0.34297168254852295,0.15000000596046448,0.1288461536169052,0.7211538553237915,0.0026360901538282633,0.06019006669521332
PAM4,2600,98.46153846153847,0.06106176972389221,0.331744909286499,0.3322737216949463,0.33598148822784424,0.41846153140068054,0.03461538627743721,0.5469231009483337,0.01119403075426817,0.0017792130820453167
QAM16,2600,94.07692307692308,0.17987240850925446,0.32672587037086487,0.3381083607673645,0.3351663649082184,0.1919230818748474,0.4950000047683716,0.313076913356781,0.9525229334831238,0.0020370404236018658
QAM64,2600,93.38461538461539,0.19691480696201324,0.3266806900501251,0.33608174324035645,0.3372381925582886,0.23807692527770996,0.2157692313194275,0.5461538434028625,0.9749595522880554,0.0017570811323821545
QPSK,2600,86.03846153846155,0.1934015154838562,0.34889736771583557,0.3350505828857422,0.31605270504951477,0.8369230628013611,0.04923076927661896,0.11384615302085876,0.013054924085736275,0.0028861158061772585
WBFM,2600,38.730769230769226,0.2605336010456085,0.33471277356147766,0.3265996277332306,0.3386891186237335,0.321153849363327,0.007692307699471712,0.6711538434028625,0.00261710281483829,0.9612165689468384
