split,label,snr,count,modulation
test,0,-6,200,8PSK
test,0,-4,200,8PSK
test,0,-2,200,8PSK
test,0,0,200,8PSK
test,0,2,200,8PSK
test,0,4,200,8PSK
test,0,6,200,8PSK
test,0,8,200,8PSK
test,0,10,200,8PSK
test,0,12,200,8PSK
test,0,14,200,8PSK
test,0,16,200,8PSK
test,0,18,200,8PSK
test,1,-6,200,AM-DSB
test,1,-4,200,AM-DSB
test,1,-2,200,AM-DSB
test,1,0,200,AM-DSB
test,1,2,200,AM-DSB
test,1,4,200,AM-DSB
test,1,6,200,AM-DSB
test,1,8,200,AM-DSB
test,1,10,200,AM-DSB
test,1,12,200,AM-DSB
test,1,14,200,AM-DSB
test,1,16,200,AM-DSB
test,1,18,200,AM-DSB
test,2,-6,200,AM-SSB
test,2,-4,200,AM-SSB
test,2,-2,200,AM-SSB
test,2,0,200,AM-SSB
test,2,2,200,AM-SSB
test,2,4,200,AM-SSB
test,2,6,200,AM-SSB
test,2,8,200,AM-SSB
test,2,10,200,AM-SSB
test,2,12,200,AM-SSB
test,2,14,200,AM-SSB
test,2,16,200,AM-SSB
test,2,18,200,AM-SSB
test,3,-6,200,BPSK
test,3,-4,200,BPSK
test,3,-2,200,BPSK
test,3,0,200,BPSK
test,3,2,200,BPSK
test,3,4,200,BPSK
test,3,6,200,BPSK
test,3,8,200,BPSK
test,3,10,200,BPSK
test,3,12,200,BPSK
test,3,14,200,BPSK
test,3,16,200,BPSK
test,3,18,200,BPSK
test,4,-6,200,CPFSK
test,4,-4,200,CPFSK
test,4,-2,200,CPFSK
test,4,0,200,CPFSK
test,4,2,200,CPFSK
test,4,4,200,CPFSK
test,4,6,200,CPFSK
test,4,8,200,CPFSK
test,4,10,200,CPFSK
test,4,12,200,CPFSK
test,4,14,200,CPFSK
test,4,16,200,CPFSK
test,4,18,200,CPFSK
test,5,-6,200,GFSK
test,5,-4,200,GFSK
test,5,-2,200,GFSK
test,5,0,200,GFSK
test,5,2,200,GFSK
test,5,4,200,GFSK
test,5,6,200,GFSK
test,5,8,200,GFSK
test,5,10,200,GFSK
test,5,12,200,GFSK
test,5,14,200,GFSK
test,5,16,200,GFSK
test,5,18,200,GFSK
test,6,-6,200,PAM4
test,6,-4,200,PAM4
test,6,-2,200,PAM4
test,6,0,200,PAM4
test,6,2,200,PAM4
test,6,4,200,PAM4
test,6,6,200,PAM4
test,6,8,200,PAM4
test,6,10,200,PAM4
test,6,12,200,PAM4
test,6,14,200,PAM4
test,6,16,200,PAM4
test,6,18,200,PAM4
test,7,-6,200,QAM16
test,7,-4,200,QAM16
test,7,-2,200,QAM16
test,7,0,200,QAM16
test,7,2,200,QAM16
test,7,4,200,QAM16
test,7,6,200,QAM16
test,7,8,200,QAM16
test,7,10,200,QAM16
test,7,12,200,QAM16
test,7,14,200,QAM16
test,7,16,200,QAM16
test,7,18,200,QAM16
test,8,-6,200,QAM64
test,8,-4,200,QAM64
test,8,-2,200,QAM64
test,8,0,200,QAM64
test,8,2,200,QAM64
test,8,4,200,QAM64
test,8,6,200,QAM64
test,8,8,200,QAM64
test,8,10,200,QAM64
test,8,12,200,QAM64
test,8,14,200,QAM64
test,8,16,200,QAM64
test,8,18,200,QAM64
test,9,-6,200,QPSK
test,9,-4,200,QPSK
test,9,-2,200,QPSK
test,9,0,200,QPSK
test,9,2,200,QPSK
test,9,4,200,QPSK
test,9,6,200,QPSK
test,9,8,200,QPSK
test,9,10,200,QPSK
test,9,12,200,QPSK
test,9,14,200,QPSK
test,9,16,200,QPSK
test,9,18,200,QPSK
test,10,-6,200,WBFM
test,10,-4,200,WBFM
test,10,-2,200,WBFM
test,10,0,200,WBFM
test,10,2,200,WBFM
test,10,4,200,WBFM
test,10,6,200,WBFM
test,10,8,200,WBFM
test,10,10,200,WBFM
test,10,12,200,WBFM
test,10,14,200,WBFM
test,10,16,200,WBFM
test,10,18,200,WBFM
train,0,-6,600,8PSK
train,0,-4,600,8PSK
train,0,-2,600,8PSK
train,0,0,600,8PSK
